[2022-03-27 17:41:53,790][run.py][line:112][INFO] start training on GPU 0!
[2022-03-27 17:41:53,790][run.py][line:113][INFO] Namespace(attn_type='rgcn', batch_size=4, bert_dim=1024, bert_model_dir='', bert_tokenizer_dir='', cuda=True, dataset_name='MELD', dropout=0.1, emb_dim=1024, epochs=70, gnn_layers=2, hidden_dim=300, lr=1e-05, max_grad_norm=5.0, max_sent_len=200, mlp_layers=2, no_cuda=False, no_rel_attn=False, nodal_att_type=None, tensorboard=False, windowf=0, windowp=1)
[2022-03-27 17:42:44,124][run.py][line:167][INFO] Epoch: 1, train_loss: 0.9479, train_acc: 87.11, train_fscore: 86.32, valid_loss: 1.2682, valid_acc: 63.21, valid_fscore: 61.12, test_loss: 1.2883, test_acc: 63.79, test_fscore: 62.25, time: 40.67 sec
[2022-03-27 17:43:25,792][run.py][line:167][INFO] Epoch: 2, train_loss: 0.2204, train_acc: 95.49, train_fscore: 95.41, valid_loss: 1.5135, valid_acc: 63.39, valid_fscore: 62.49, test_loss: 1.5477, test_acc: 63.75, test_fscore: 63.23, time: 41.67 sec
[2022-03-27 17:44:06,883][run.py][line:167][INFO] Epoch: 3, train_loss: 0.1705, train_acc: 96.05, train_fscore: 96.06, valid_loss: 1.5697, valid_acc: 63.75, valid_fscore: 62.95, test_loss: 1.6456, test_acc: 63.6, test_fscore: 63.16, time: 41.09 sec
[2022-03-27 17:44:50,099][run.py][line:167][INFO] Epoch: 4, train_loss: 0.161, train_acc: 96.12, train_fscore: 96.13, valid_loss: 1.5228, valid_acc: 63.57, valid_fscore: 62.79, test_loss: 1.6569, test_acc: 63.56, test_fscore: 63.19, time: 43.22 sec
[2022-03-27 17:45:33,484][run.py][line:167][INFO] Epoch: 5, train_loss: 0.1581, train_acc: 96.14, train_fscore: 96.15, valid_loss: 1.5983, valid_acc: 63.39, valid_fscore: 62.7, test_loss: 1.6813, test_acc: 63.45, test_fscore: 63.12, time: 43.38 sec
[2022-03-27 17:46:16,184][run.py][line:167][INFO] Epoch: 6, train_loss: 0.1527, train_acc: 96.17, train_fscore: 96.17, valid_loss: 1.5951, valid_acc: 63.93, valid_fscore: 63.25, test_loss: 1.6925, test_acc: 63.52, test_fscore: 63.18, time: 42.7 sec
[2022-03-27 17:46:59,061][run.py][line:167][INFO] Epoch: 7, train_loss: 0.1572, train_acc: 96.17, train_fscore: 96.18, valid_loss: 1.5479, valid_acc: 63.39, valid_fscore: 62.68, test_loss: 1.6524, test_acc: 63.52, test_fscore: 63.17, time: 42.88 sec
[2022-03-27 17:47:42,569][run.py][line:167][INFO] Epoch: 8, train_loss: 0.1566, train_acc: 96.19, train_fscore: 96.19, valid_loss: 1.542, valid_acc: 63.12, valid_fscore: 62.41, test_loss: 1.6544, test_acc: 63.49, test_fscore: 63.16, time: 43.51 sec
[2022-03-27 17:48:27,755][run.py][line:167][INFO] Epoch: 9, train_loss: 0.151, train_acc: 96.19, train_fscore: 96.2, valid_loss: 1.5832, valid_acc: 63.03, valid_fscore: 62.28, test_loss: 1.6687, test_acc: 63.3, test_fscore: 62.92, time: 45.19 sec
[2022-03-27 17:49:12,621][run.py][line:167][INFO] Epoch: 10, train_loss: 0.1514, train_acc: 96.2, train_fscore: 96.21, valid_loss: 1.5762, valid_acc: 63.21, valid_fscore: 62.58, test_loss: 1.6838, test_acc: 63.03, test_fscore: 62.76, time: 44.87 sec
[2022-03-27 17:49:55,592][run.py][line:167][INFO] Epoch: 11, train_loss: 0.1528, train_acc: 96.2, train_fscore: 96.2, valid_loss: 1.5479, valid_acc: 63.21, valid_fscore: 62.69, test_loss: 1.6692, test_acc: 62.91, test_fscore: 62.75, time: 42.97 sec
